,feature,importance_gain,importance_split
70,last_1_bhmonth_type23_max_click_cnt_day,147.597620844841,18
71,last_1_bhmonth_type23_max_cnt_day,202.28996670246124,25
72,last_1_bhmonth_type23_max_cnt_day_dawn,58.585891008377075,13
73,last_1_bhmonth_type23_max_cnt_hour,6.8660900592803955,2
74,last_1_bhmonth_type23_mean_cnt_day,118.52440845966339,24
75,last_1_bhmonth_type23_mean_cnt_day_dawn,40.94504451751709,8
76,last_1_bhmonth_type23_mean_cnt_hour,49.561620235443115,10
77,last_1_bhmonth_type23_min_cnt_day,73.46207603812218,21
78,last_1_bhmonth_type23_std_cnt_day,96.0872677564621,29
79,last_1_bhmonth_type23_std_cnt_day_dawn,46.13193082809448,7
